su-f-01.02.04.07,"Bilan de la population résidante permanente (total) selon les districts et les communes, en 2009",,,,,,,,,,,,
,,          ,          ,,,,,,,,,,
,Etat de la,Naissances,Décès,Accroissement,Arrivées et ,Départs,Solde,Divergences,Etat de la,Variation,,,
,population,vivantes,,naturel,changements,,migratoire et,statistiques,population,en nombres,en %,,
,au 1er janvier,,,,de statut,,changements,          ,au 31 décembre,absolus,,, 
,,,,,,,de statut,,,,,,
SUISSE,7701856 ,78286 ,62476 ,15810 ,594089 ,519502 ,74587 ,-6447 ,7785806 ,83950 ,1.1,,
Kanton Zürich,1 332 727, 14 879, 10 170, 4 709, 110 113, 94 341, 15 772, -1 911,1 351 297, 18 570,1.4,,
Bezirk Affoltern, 46 117,  497,  263,  234, 4 013, 3 275,  738,  -26, 47 063,  946,2.1,,
   1 Aeugst am Albis, 1 700,  14,  7,  7,  164,  133,  31,  2, 1 740,  40,2.4,,
   2 Affoltern am Albis, 10 630,  113,  81,  32,  841,  762,  79,  -6, 10 735,  105,1.0,,
   3 Bonstetten, 4 990,  79,  21,  58,  425,  360,  65,  -3, 5 110,  120,2.4,,
   4 Hausen am Albis, 3 253,  22,  17,  5,  244,  187,  57,  1, 3 316,  63,1.9,,
   5 Hedingen, 3 403,  28,  26,  2,  214,  203,  11,  -3, 3 413,  10,0.3,,
   6 Kappel am Albis,  865,  9,  5,  4,  109,  97,  12,  0,  881,  16,1.8,,
   7 Knonau, 1 733,  19,  10,  9,  147,  155,  -8,  8, 1 742,  9,0.5,,
   8 Maschwanden,  568,  2,  4,  -2,  67,  46,  21,  1,  588,  20,3.5,,
   9 Mettmenstetten, 4 109,  38,  16,  22,  300,  281,  19,  0, 4 150,  41,1.0,,
  10 Obfelden, 4 520,  62,  25,  37,  422,  324,  98,  -9, 4 646,  126,2.8,,
  11 Ottenbach, 2 311,  18,  12,  6,  207,  139,  68,  0, 2 385,  74,3.2,,
  12 Rifferswil,  843,  14,  7,  7,  82,  59,  23,  3,  876,  33,3.9,,
  13 Stallikon, 2 869,  27,  11,  16,  371,  213,  158,  -19, 3 024,  155,5.4,,
  14 Wettswil am Albis, 4 323,  52,  21,  31,  420,  316,  104,  -1, 4 457,  134,3.1,,
Bezirk Andelfingen, 28 832,  288,  210,  78, 2 166, 1 824,  342,  -5, 29 247,  415,1.4,,
  21 Adlikon,  569,  13,  5,  8,  28,  31,  -3,  3,  577,  8,1.4,,
  22 Benken (ZH),  752,  4,  5,  -1,  69,  47,  22,  1,  774,  22,2.9,,
  23 Berg am Irchel,  582,  6,  1,  5,  38,  28,  10,  0,  597,  15,2.6,,
  24 Buch am Irchel,  843,  6,  7,  -1,  75,  77,  -2,  -4,  836,  -7,-0.8,,
  25 Dachsen, 1 893,  21,  12,  9,  108,  91,  17,  -3, 1 916,  23,1.2,,
  26 Dorf,  628,  4,  2,  2,  37,  31,  6,  -2,  634,  6,1.0,,
  27 Feuerthalen, 3 389,  40,  29,  11,  292,  240,  52,  -2, 3 450,  61,1.8,,
  28 Flaach, 1 237,  8,  11,  -3,  85,  96,  -11,  4, 1 227,  -10,-0.8,,
  29 Flurlingen, 1 356,  11,  12,  -1,  145,  96,  49,  3, 1 407,  51,3.8,,
  30 Andelfingen, 1 770,  18,  12,  6,  163,  144,  19,  0, 1 795,  25,1.4,,
  31 Henggart, 2 068,  30,  8,  22,  202,  116,  86,  -5, 2 171,  103,5.0,,
  32 Humlikon,  436,  4,  3,  1,  34,  16,  18,  0,  455,  19,4.4,,
  33 Kleinandelfingen, 2 032,  22,  7,  15,  138,  112,  26,  0, 2 073,  41,2.0,,
  34 Laufen-Uhwiesen, 1 512,  15,  17,  -2,  98,  87,  11,  -2, 1 519,  7,0.5,,
  35 Marthalen, 1 883,  19,  16,  3,  126,  117,  9,  -3, 1 892,  9,0.5,,
  36 Oberstammheim, 1 077,  14,  18,  -4,  49,  65,  -16,  9, 1 066,  -11,-1.0,,
  37 Ossingen, 1 364,  19,  9,  10,  81,  98,  -17,  3, 1 360,  -4,-0.3,,
  38 Rheinau, 1 320,  7,  10,  -3,  118,  97,  21,  -2, 1 336,  16,1.2,,
  39 Thalheim an der Thur,  799,  5,  3,  2,  35,  33,  2,  3,  806,  7,0.9,,
  40 Trüllikon, 1 007,  5,  5,  0,  69,  76,  -7,  0, 1 000,  -7,-0.7,,
  41 Truttikon,  460,  2,  2,  0,  33,  21,  12,  2,  474,  14,3.0,,
  42 Unterstammheim,  893,  6,  11,  -5,  62,  56,  6,  -9,  885,  -8,-0.9,,
  43 Volken,  296,  3,  2,  1,  32,  18,  14,  -2,  309,  13,4.4,,
  44 Waltalingen,  666,  6,  3,  3,  49,  31,  18,  1,  688,  22,3.3,,
Bezirk Bülach, 126 871, 1 371,  758,  613, 12 386, 10 226, 2 160, - 147, 129 497, 2 626,2.1,,
  51 Bachenbülach, 3 796,  48,  21,  27,  293,  312,  -19,  -12, 3 792,  -4,-0.1,,
  52 Bassersdorf, 10 755,  139,  53,  86,  998,  923,  75,  -14, 10 902,  147,1.4,,
  53 Bülach, 16 774,  185,  102,  83, 1 381, 1 277,  104,  -5, 16 956,  182,1.1,,
  54 Dietlikon, 7 030,  68,  42,  26,  504,  507,  -3,  -7, 7 046,  16,0.2,,
  55 Eglisau, 3 684,  39,  30,  9,  478,  228,  250,  -3, 3 940,  256,6.9,,
  56 Embrach, 8 686,  85,  54,  31,  815,  764,  51,  17, 8 785,  99,1.1,,
  57 Freienstein-Teufen, 2 249,  21,  8,  13,  172,  152,  20,  -3, 2 279,  30,1.3,,
  58 Glattfelden, 4 122,  42,  20,  22,  332,  272,  60,  -2, 4 202,  80,1.9,,
  59 Hochfelden, 1 876,  24,  6,  18,  167,  129,  38,  -7, 1 925,  49,2.6,,
  60 Höri, 2 460,  17,  16,  1,  186,  219,  -33,  -8, 2 420,  -40,-1.6,,
  61 Hüntwangen,  971,  7,  5,  2,  58,  77,  -19,  14,  968,  -3,-0.3,,
  62 Kloten, 17 504,  195,  131,  64, 1 843, 1 439,  404,  -48, 17 924,  420,2.4,,
  63 Lufingen, 1 610,  14,  7,  7,  210,  119,  91,  -1, 1 707,  97,6.0,,
  64 Nürensdorf, 4 953,  46,  18,  28,  475,  301,  174,  9, 5 164,  211,4.3,,
  65 Oberembrach,  987,  3,  4,  -1,  78,  91,  -13,  7,  980,  -7,-0.7,,
  66 Opfikon, 14 675,  181,  90,  91, 2 022, 1 494,  528,  -38, 15 256,  581,4.0,,
  67 Rafz, 3 961,  33,  17,  16,  253,  250,  3,  -3, 3 977,  16,0.4,,
  68 Rorbas, 2 249,  26,  7,  19,  219,  225,  -6,  -7, 2 255,  6,0.3,,
  69 Wallisellen, 12 817,  140,  96,  44, 1 455,  999,  456,  -34, 13 283,  466,3.6,,
  70 Wasterkingen,  557,  5,  6,  -1,  23,  35,  -12,  4,  548,  -9,-1.6,,
  71 Wil (ZH), 1 275,  6,  9,  -3,  105,  79,  26,  -1, 1 297,  22,1.7,,
  72 Winkel, 3 880,  47,  16,  31,  319,  334,  -15,  -5, 3 891,  11,0.3,,
Bezirk Dielsdorf, 77 186,  794,  426,  368, 7 218, 6 120, 1 098,  -24, 78 628, 1 442,1.9,,
  81 Bachs,  566,  6,  4,  2,  41,  31,  10,  -4,  574,  8,1.4,,
  82 Boppelsen, 1 282,  18,  7,  11,  100,  96,  4,  0, 1 297,  15,1.2,,
  83 Buchs (ZH), 5 243,  51,  22,  29,  421,  398,  23,  -15, 5 280,  37,0.7,,
  84 Dällikon, 3 596,  36,  21,  15,  277,  306,  -29,  -5, 3 577,  -19,-0.5,,
