su-f-01.02.04.07,"Bilan de la population résidante permanente selon les districts et les communes, en 2013",,,,,,,,,,,
,,          ,          ,,,,,,,,,
,,Composantes de l'évolution de la population,,,,,,,,Variation ,,
,Etat de la,Naissances,Décès,Accroissement,Arrivées 1),Départs,Solde,Divergences,Etat de la,en nombres,en %,
,population,vivantes,,naturel,,,migratoire 1),statistiques,population,absolus,,
,au 1er janvier,,,,,,,          ,au 31 décembre,,,
Suisse 2),8039060 ,82731 ,64961 ,17770 ,673418 ,586312 ,87106 ,-4305 ,8139631 ,100571 ,1.3,
- Zürich,1408575 ,15996 ,10792 ,5204 ,114172 ,102040 ,12132 ,-373 ,1425538 ,16963 ,1.2,
>> Bezirk Affoltern,49446 ,503 ,326 ,177 ,3860 ,3481 ,379 ,-37 ,49965 ,519 ,1.0,
......0001 Aeugst am Albis,1955 ,19 ,13 ,6 ,170 ,165 ,5 ,6 ,1972 ,17 ,0.9,
......0002 Affoltern am Albis,11276 ,107 ,75 ,32 ,942 ,881 ,61 ,-6 ,11363 ,87 ,0.8,
......0003 Bonstetten,5205 ,53 ,24 ,29 ,342 ,307 ,35 ,-9 ,5260 ,55 ,1.1,
......0004 Hausen am Albis,3376 ,30 ,35 ,-5 ,263 ,205 ,58 ,2 ,3431 ,55 ,1.6,
......0005 Hedingen,3511 ,39 ,22 ,17 ,281 ,215 ,66 ,1 ,3595 ,84 ,2.4,
......0006 Kappel am Albis,922 ,9 ,5 ,4 ,98 ,68 ,30 ,- ,956 ,34 ,3.7,
......0007 Knonau,1982 ,23 ,18 ,5 ,199 ,182 ,17 ,3 ,2007 ,25 ,1.3,
......0008 Maschwanden,641 ,11 ,2 ,9 ,58 ,43 ,15 ,-1 ,664 ,23 ,3.6,
......0009 Mettmenstetten,4420 ,42 ,17 ,25 ,305 ,327 ,-22 ,- ,4423 ,3 ,0.1,
......0010 Obfelden,4833 ,42 ,30 ,12 ,396 ,360 ,36 ,-14 ,4867 ,34 ,0.7,
......0011 Ottenbach,2480 ,24 ,16 ,8 ,159 ,158 ,1 ,-6 ,2483 ,3 ,0.1,
......0012 Rifferswil,957 ,8 ,7 ,1 ,50 ,46 ,4 ,-3 ,959 ,2 ,0.2,
......0013 Stallikon,3309 ,49 ,18 ,31 ,259 ,254 ,5 ,-6 ,3339 ,30 ,0.9,
......0014 Wettswil am Albis,4579 ,47 ,44 ,3 ,338 ,270 ,68 ,-4 ,4646 ,67 ,1.5,
>> Bezirk Andelfingen,30038 ,288 ,203 ,85 ,2289 ,2058 ,231 ,-8 ,30346 ,308 ,1.0,
......0021 Adlikon,561 ,4 ,3 ,1 ,55 ,45 ,10 ,5 ,577 ,16 ,2.9,
......0022 Benken (ZH),823 ,8 ,9 ,-1 ,76 ,69 ,7 ,-1 ,828 ,5 ,0.6,
......0023 Berg am Irchel,587 ,2 ,5 ,-3 ,42 ,48 ,-6 ,- ,578 ,-9 ,-1.5,
......0024 Buch am Irchel,899 ,14 ,4 ,10 ,58 ,49 ,9 ,3 ,921 ,22 ,2.4,
......0025 Dachsen,1960 ,26 ,11 ,15 ,147 ,136 ,11 ,-2 ,1984 ,24 ,1.2,
......0026 Dorf,634 ,2 ,4 ,-2 ,49 ,62 ,-13 ,2 ,621 ,-13 ,-2.1,
......0027 Feuerthalen,3464 ,39 ,32 ,7 ,218 ,197 ,21 ,-2 ,3490 ,26 ,0.8,
......0028 Flaach,1331 ,12 ,10 ,2 ,127 ,112 ,15 ,3 ,1351 ,20 ,1.5,
......0029 Flurlingen,1414 ,7 ,8 ,-1 ,91 ,97 ,-6 ,-3 ,1404 ,-10 ,-0.7,
......0030 Andelfingen,2063 ,27 ,23 ,4 ,200 ,163 ,37 ,-4 ,2100 ,37 ,1.8,
......0031 Henggart,2254 ,26 ,9 ,17 ,148 ,144 ,4 ,- ,2275 ,21 ,0.9,
......0032 Humlikon,483 ,5 ,1 ,4 ,19 ,25 ,-6 ,1 ,482 ,-1 ,-0.2,
